7256	3
5748	912	-8050	
6457	138	-6668	
9789	-1524	371	
6325	99	-3545	
3515	467	-5231	
7109	7265	-17046	
14618	629	-17080	
1903	-535	-2467	
3704	4045	-8342	
12797	10457	-35988	
12712	14002	-41657	
12525	385	-6421	
8537	12586	-15269	
4906	7019	-13552	
12740	301	-6534	
12619	11885	-33071	
6614	-590	-10520	
6874	6755	-14018	
12692	-4028	-2100	
3997	65	-3320	
8833	10361	-10572	
6026	-462	-1293	
8238	4429	-4480	
8606	7435	-10963	
10932	5694	-16137	
11997	5225	-29671	
12727	-4523	-1776	
9086	-1810	-821	
8372	273	-3509	
3969	-42	-273	
9979	33	-10535	
2308	3433	-3779	
12806	-3359	-3462	
2865	6571	-5306	
10030	2821	-9821	
12806	-3359	-3462	
7352	1783	-12374	
12716	6969	-8231	
7347	4705	-12584	
12376	1396	-22465	
12801	-3332	-3465	
5037	7433	-13655	
11238	1759	-19658	
10049	440	-11173	
4406	8232	-11642	
8383	324	-3006	
10746	8997	-35434	
6916	5591	-12481	
10413	1132	-15471	
10194	158	-12467	
7069	1636	-14770	
1948	-19	-1639	
12867	-1264	-6865	
